message,cyberbullying
rabbim kalan ömrünü geçen ömründen hayırlı eylesin,0
bir ateist olarak bu resmi gördükçe gözyaşlarıma mani olamıyorum,0
oo süpersin azıcık bize de bulaşsa,0
bende biliyorum benden bı bok olmicak,1
nerdesin len tirrek,1
dogruyusoyleyince kadro verince adalet yerini bulacak,0
ogrenciler hocalarına memleket durusuna hayran ,0
gunaydin hala yatakta olanlar eminim elinizde telefon aletinizde tad gibidir hadi sanalda sabah keyfi yapalim,0
artist pezevenk takimi yakti rezildi,1
ve o narinlikte ve sevimlilikte cüce öylesine acımasızca zibh eğliyip,0
off defol git surdan cüce,1
lüks yaşam bu muulan gerizeka lüks hayatları olsa o poşetleri taşıyan hizmetçileri olurdu,1
beştepe millet kültür ve kongre merkezi nden elektrik santralleri toplu açılış törenine telekonferansla bağlandı cumhurbaşkanı,0
taehyung ne bulsan giyiyon ama yakışıyor ha ibne 1 namjoon 2 sen kezban gibi giyinsenizde aşığım,1
hava gavur şeyi gibi yanıyor diyorlar ama o konuda hiç tecrübem yok bilemiyorum,1
koca koca adamlar yok şu benim tweetimi çaldı bu benim tweetimi çaldı diye ağlıyor manyak mısınız oğlum,1
eğlenceli geceye devam,0
bölümü tanımlamaya tek bir sözcük yetiyor abi çoğu embesil,1
işçi bayramın kutlu olsun kız şırfıntı sonuçta az işler çevirmedin,1
siz hep böyle gülün,0
hepinize hayırlı cumalar bitmek üzere ama,0
uzat ablacım uzat,0
cerrahpaşaduruşu bütünü ile hakkına sahip çıkmaktır hiç kimseyi kırmadan hiç kimseyi yermeden naif bi üslup ile hakkını aramaktır,0
paralı sponsor  erkek arayan kızlar bulana kadar cebinde vibratörsüz sokağa çıkmasınlar bi zahmet,1
bakalım ben kaç alcam  tebrikler bu arada gayet iyi almışsın,0
pazar günü düğün var yok mu bana takım elbise alacak bir baba yiğit,0
aşk hevesle başlar hasret gurbetle,0
şerefsiz hergun televizyonlarda senin albay olmak vardı cümlesini dinliyoruzallahsiz pislik,1
tırrek tirrek hayalleri fikirleri bırak gerçek hayata dön o zaman rambo gibi olursun,1
cuma günlerimin vazgeçemediğim mutluluğusun olmazsa olmazsın,0
altın yere düşünce pul olmaz derler,0
bilgisayar inanılmaz derecede akıllıca şeyler yapma yeteneğine sahip aptal bir makinedir,0
elinde balonlarla foto cektırmen senin bir dombili olduğun geçeceğini degıstırmıyor,1
çok hafifmeşrep bir şarkı paylaşayım da ulan vurduyor mu acaba diye düşünün,1
sağlıklıhuzurlu musmutlu bir,0
sakın geleyim deme amk el freni,1
valla ben çalışan tayfa idim bilgisayar mühendisi adayı oldum sürünme noktasında değişen,0
yine bir çılgınlık yapıp bir sürü kitap sipariş ettimçok mutluyum,0
merhaba hayat muhteşem,0
ruhun müzik ile dans etmesi,0
bu ülkenin başına enbüyük pislik sizlersiniz ayyaş,1
bu aşağılık bu cesareti nereden alıyor kimdir bu,1
zilli kesha napiyor acaba su an,1
sen herşeyden iki kat daha güzelsin,0
şu masumiyete bakın,0
yemekteyiz yarışmacılar orda kafayı sıyırdı izlerken ben de burda sıyırdım topluca sıyırdık sıyırdığım için beni yargılamayın,0
doya doya göt sikmek istiyorum,1
hayatıma bu kadar salak insanı almayı nasıl başardım anlamıyorum,1
kampanyası öncesi alışverişe mental olarak da hazırlanmak gerek tebrikler ozz,0
makyaj senden nefret ediyorum,0
ahmedim aslanım nice senelere doğum günün kutlu olsun kardeşim,0
yavşak it anerika suriye ve irak ta tüm terör örgütlerine binlerce tır silah verdi niye gıkın çıkmadı şerefsiz hain,1
yaşlı insanların şehiriçi otobüslerinden tam inecekleri an andaval şoförün dikkat,1
ağzına sıçarım,1
hayirlisi olsun halkimiza duyrulur,0
kasım ayına yakışan ne de tatlı bir klip insanın sevesi geliyor,0
çok güzelsin lanet olsun insan mısın,0
işlerim dolayısıyla 4 gündür londra dayım mutlaka bir beşiktaş ürünüyle çıkıyorum dışarı görenler  come to beşiktaş  diyor,0
yine bir kavga ve sen benim kim oldugumu biliyor musun cumlesi  gercekten merak uyandirdi  kimdi acaba keko,1
bi tane erkeğe full makyaj yapmak istiyorum kim gönüllü ama böyle prof makyaj olacak,0
ne güzelsin be,0
bellem hala bekliyorum biliyor musun ckckckckc andaval ya xkckc,1
işte tarkovski’ye göre edebiyatla sinema arasındaki benzerlik ve farklar,0
adana kültür,0
ben bu semtin serseri yazarıysam sende en büyük kaşar günaydın,1
fikret ormanın açıklamaları gerçekten dürüstçe bizde beşiktaşın başarılı olmasını istiyoruz elbette,0
su calathes denen orospu cocugunu durdurun,1
beyaz gel beni evimden alda bütün konuklara adını unutana kadar yumruk atayım,1
ya ilker boş yapma amk bal gibi de dönüyor,1
solmasın gençliğin gamla kasvetle,0
anasını bile satar bu dümbük,1
amk bitane değilki al kemali vur güvene hepsi sabunluk zirzop,1
dön gel dön gel,0
tüba üstün başarılı genç bilim insanı ödülü sosyal bilimler alanında kızım doç dr tuba durmuş a verildi gururluyuz,0
sikik sikik edebiyat yapıyorsunuz yapmayın,1
atanamamış metin akpınara bak konuşuyo bi de dalyarak,1
ulan yıllardır şu müziğin sözlerini merak ediyordum şimdi öğrendim çok mutluyum,0
vay orospu çocuğu azizeye bam bam bam,1
kes lan zübük defol,1
birlikte güzel çalışmalara imza attığımız ve değeri bizde baki kalacak olan sayın müdürümüz,0
hayranı olduğunuz hayatın tadını çıkartıyorum inan’ın çok mutluyum,0
çünkü sen her zaman sen muhabbetle,0
ders çalıştık yorulduk sınava girdik yine yorulduk mülakat dönemi ayrı yorucu her aşamada yorulduk yıprandık,0
banada şey gibi geliyo şişko olduğum için kimsenin fikrinin ince gülü olamam,0
od ama bida andaval deme uzuluyorum i geceler,0
gerizeka bir orospu evladı olduğu için,1
tarihimizin en pahalı kadrolarından birisini böyle vasat beyinsiz bir hocayla tüketemeyiz igor tudor en kısa sürede kovulsun,1
bu soru öyle mi sorulur dalyarak,1
hayırdır la benimle uğraşmanın sebebi nedir şeref yoksunu insan çok şükür biz senin gibi dönek değiliz dönek,1
topluluk karşısında başarılı bir konuşma yapmanın sırrı,0
çikolata yiyemiom alerjim geçene kadar yasak,0
allah kökünüzü kurutsun şerefsiz şirret sürüsü,1
hakkında çok iyi şeyler bildiğin insanın tam bir pezevenk çıkması,1
bu beyinsiz hedef kitlesi de bellio yuzden rahatherhangi bir seyi bilmek,1
aynen yavşak yine başka kıza aşık olmuşsun çok seviyormuşsun iki gün sonra arkasından orospu dediğini duyar gibiyim,1
en son hangi takımda başarılı olmuş bence çok konuşuyor az konuşup icraat yapması lazım inş başarır ne diyelim çok ümidim yok,0
bana bu tipi yorumlatiyosun ne curettle favladin sen bu tiviti amk keli keli,1
tudor bu gerizeka pıcı hemen takımdan gonderın hemenn serefınız varsa mk,1
bende umarımgerizekali bide bize kızıyor doğru söylediğimiz için bize blok ettiama doğru,1
şu samimiyete bakın,0
hassiktir lan gebeş,1
herkese nasıl aynı değeri verebiliyon amk,1
en büyük en güzel en önemli en değerli seçim vaadini bunlar veriyor,0
bu fikre saygı duyan ve destekleyen herkesi imzaya davet ediyorum desteklerinize ihtiyacımız var,0
çocuktan al haberi diye programlar var paralı ailelerin format gereği herkesi güldürmek için programladığı çocuklar,0
iyy pis abaza,1
 benfica yla bir problemim yok problemim olan kişiyi herkes biliyor kulübü seviyorum,0
sen hala buralarda mısın lan tirrek — he kardeeş nxsnnssnns,1
dostsuz dünya olmaz imiş dost duasız kalmaz imiş dostun duası,0
ilahi adalet diye birşey var,0
hay amk ya nerden selam verdik,1
desteklediğin barzo gibi senin de karakterin bozuk,1
yediden yetmişe öğrencisinden hocasına koskoca bir ailenin sahiplenişi ve kenetlenişidir cerrahpaşaduruşu,0
sınavdan önce bira içmek ders çalışırken ezberlediğiniz şeyleri hatırlamanıza yardımcı olur,0
şu kafamdaki soru işaretlerini çözemeden ölürsem emin olun ki her gece rüyalarınıza girip girip hayatınıza sıçarım,1
vay şaşkoloz  vayy,1
görmeyeli çirkinlesmişsin orosbu evladi,1
aynen yavşak yine başka kıza aşık olmuşsun çok seviyormuşsun iki gün sonra arkasından orospu dediğini duyar gibiyim,1
sn cumhurbaşkanımız genel başkanımız grup konuşmasına başladı haftamız hayırlı olsun,0
domal bakiyim amina koydumun orospu seni yarragimi boyle amina kokune kadar sokup sokup cikartarak sikerim orospu ht,1
zehra gıbı olmak istiyorum tek ayak üstünde kırk tane yalan söylüyor,1
sema için sürekli ya aslında dışarda böyle değil diyolar sayın andaval yorumcular kimse oradaki gibi değil zaten,1
sen çok fırlama bı kızsın tuba,1
bilgisayar bulamayınca hesabı kapatamadık gitmeden de seçim sürecinde burada olmayacağımız için kişilere değil özgürlük ilk,0
aay götüüm sikik karı,1
mert kesinlikle ergenliğine yeniliyor ergen olduğu için son sozü kendi söylemek istiyor ergenleri sahneden alalım aq  yemekteyiz,1
fatih terim stadyumunda gerizeka tudor yüzünden mağlup olmak bir ironi örneğidir,1
kucağımda yeğenim varken gördüğüm ilgiyi normalde görmüyorum bu kızlardan  o kadar çocuk seviyorsunuz madem işi yokuşa sürmeyin,0
sayfasını bıraz arastırınca gs sevdalısı çıkıyor bunlar herkesi kendileri gibi şerefiz sanarlar,1
herkes de oğlu  okuldan gelince 5 dk da ana yemek cikariyor be  hayır o saate kadar diziye mi daldiniz,0
içimde öyle güzelsin ki onu kirletmeyeceğim seninle,0
bok vardı sanki ne geliyon,1
şu insanları üzmeyin sıçarım şarap çanağınıza,1
adalet duygunuzmantığınız insanlara olan yakınlığınıza göre değişiyorsa üzgünüm ama siz adil değilsiniz,0
haziran ayı içinde yeni macbook modelleri tanıtılacak şu sıralar bir bilgisayar almayı düşünenler biraz beklesin derim,0
bangtan ile başarılı ve gururlu hava sahası mümkün,0
kübra makyaj temizleme kremini 6 7 kez el kremi olarak kullanmış manyak,0
bu adam ne kinaye yapabiliyor ne kinayeden anliyor almis 3 tane andaval arkasina,1
lutfen artik su sosyal medyada olmadiginiz biri gibi davranmayin cok embesil duruyosunuz,1
bi de başımıza bu yarım akıllı karacahil zırcahil bezirganları çıktı,1
babasına süpriz yapan aşifte kızı ,1
sen dua et bu gerizeka tudora karşı puan vermesin bizim hamsi,1
kanka annenleyiz ateşini al demiştin,1
günaydın diyin lan köleler ezik itler,1
halil sezai gibi berduş halil sezai gibi dertliyim,0
çok beklersiniz piç eniği piçler ,1
işten evime geldim duş aldım şarap ve müzik eşliğinde kendime yemek yapıyorum,0
yatırır götünü sikerim hacı,1
• genelde kırgın olduğu kişilerle muhatap olmaz,0
aptal oç rüyamda ne işin var,1
aşağılık yaratık ağzına geleni söyle sana söylenince duyar kas sahtekar dallama,1
dün gece kitap okurken uyuyakalmışım en son kaldığım yeri eşim işaretlemiş evlendiğimiz insana neden eş denildiğini anlıyorum,0
kitap fuarı öyle bir yerde olacak ki  kimsenin gelebileceğini pek sanmıyorum şehrin dışına doğru yer yapmışlar nerde bunun heyecanı,0
dönme artık istemem senin o kahpe kalbini,1
polemik yaratıp planlı programlı tartışmaları ile gündeme gelip spnra gururla bunu paylaşanlar ektedir,0
angut sana kemik atan oldu mu profil resmi değil fotoğraf,1
ayy canım iremim ne kadar da güzel olmuş yaa çok tatlısın be zalimin kizi,0
vizyon yok kardeşim vizyon yemekteyiz,0
